2011 super output area - lower layer,mnemonic,All categories: Method of travel to work,Bicycle,On foot,per_Bicycle,per_Walk
Hammersmith and Fulham 012B,E01001867,1079,21,106,0.019774011,0.099811676
Hammersmith and Fulham 012C,E01001868,1050,29,97,0.027306968,0.0913371
Hammersmith and Fulham 012D,E01001870,1732,82,173,0.077212806,0.162900188
Hammersmith and Fulham 012E,E01001871,1361,54,107,0.050847458,0.100753296
Hammersmith and Fulham 012F,E01001872,1426,59,131,0.055555556,0.123352166
Hammersmith and Fulham 013A,E01001893,961,32,133,0.030131827,0.125235405
Hammersmith and Fulham 013B,E01001894,1074,38,104,0.035781544,0.097928437
Hammersmith and Fulham 013C,E01001898,1322,74,146,0.069679849,0.13747646
Hammersmith and Fulham 013D,E01001899,1068,41,99,0.038606403,0.093220339
Hammersmith and Fulham 013E,E01001900,1360,45,155,0.042372881,0.145951036
Hammersmith and Fulham 014A,E01001889,1193,67,112,0.063088512,0.105461394
Hammersmith and Fulham 014B,E01001910,1351,80,96,0.075329567,0.09039548
Hammersmith and Fulham 014C,E01001913,1406,79,103,0.074387947,0.096986817
Hammersmith and Fulham 014D,E01001914,1555,73,138,0.06873823,0.129943503
Hammersmith and Fulham 015A,E01001885,954,14,96,0.013182674,0.09039548
Hammersmith and Fulham 015B,E01001908,1484,46,135,0.043314501,0.127118644
Hammersmith and Fulham 015C,E01001909,1507,75,161,0.070621469,0.151600753
Hammersmith and Fulham 015D,E01001911,1312,41,112,0.038606403,0.105461394
Hammersmith and Fulham 015E,E01001912,1203,35,112,0.032956685,0.105461394
Hammersmith and Fulham 016A,E01001886,1258,76,126,0.071563089,0.118644068
Hammersmith and Fulham 016B,E01001887,1248,63,115,0.059322034,0.108286252
Hammersmith and Fulham 016C,E01001890,1590,77,256,0.072504708,0.241054614
Hammersmith and Fulham 016D,E01001892,1068,52,89,0.048964218,0.083804143
Hammersmith and Fulham 017A,E01001880,1223,62,114,0.058380414,0.107344633
Hammersmith and Fulham 017B,E01001881,1338,83,113,0.078154426,0.106403013
Hammersmith and Fulham 017C,E01001882,1517,121,129,0.11393597,0.121468927
Hammersmith and Fulham 017D,E01001883,1241,62,109,0.058380414,0.102636535
Hammersmith and Fulham 017E,E01001884,1485,70,151,0.065913371,0.142184557
Hammersmith and Fulham 018A,E01001888,1316,92,132,0.086629002,0.124293785
Hammersmith and Fulham 018B,E01001891,1797,88,198,0.082862524,0.186440678
Hammersmith and Fulham 018C,E01001917,1150,88,89,0.082862524,0.083804143
Hammersmith and Fulham 018D,E01001918,1184,95,83,0.089453861,0.078154426
